from,to,support,relation,start,end,time
bouhler,ss,99,6,99,99,9
bruckmann,nsdap,99,6,99,99,9
eckart,nsdap,99,6,99,99,9
poehner,nsdap,99,6,99,99,9
maurice,nsdap,99,6,99,99,9
maurice,sa,99,6,99,99,9
maurice,ss,99,6,99,99,9
dietrich,nsdap,99,6,99,99,9
dietrich,ss,99,6,99,99,9
bormann,nsdap,99,6,99,99,9
brueckner,nsdap,99,6,99,99,9
dinter,nsdap,99,6,99,99,9
feder,nsdap,99,6,99,99,9
frank,nsdap,99,6,99,99,9
graf,nsdap,99,6,99,99,9
graf,ss,99,6,99,99,9
graf,sa,99,6,99,99,9
kursell,nsdap,99,6,99,99,9
schickedanz,nsdap,99,6,99,99,9
koerner,nsdap,99,6,99,99,9
streicher,nsdap,99,6,99,99,9
gansser,nsdap,99,6,99,99,9
luedecke,nsdap,99,6,99,99,9
ludendorff,nsdap,99,6,99,99,9
kriebel,nsdap,99,6,99,99,9
kriebel,sa,99,6,99,99,9
pfordten,nsdap,99,6,99,99,9
springorum,nsdap,99,6,99,99,9
pietzsch,nsdap,99,6,99,99,9
pleiger,nsdap,99,6,99,99,9
kehrl,nsdap,99,6,99,99,9
strauss,nsdap,99,6,99,99,9
lammers,nsdap,99,6,99,99,9
poehner,muenchen,99,6,99,99,9
poehner,putsch,99,6,1923,1923,2
schaub,ss,99,6,99,99,9
schaub,putsch,99,6,1923,1923,2
schaub,muenchen,99,6,99,99,9
hess,putsch,99,6,1923,1923,2
hess,landsberg,99,6,1923,1925,2
weber,putsch,99,6,1923,1923,2
weber,muenchen,99,6,99,99,9
lehmann,putsch,99,6,1923,1923,2
lehmann,muenchen,99,6,99,99,9
sesselmann,muenchen,99,6,99,99,9
sesselmann,putsch,99,6,1923,1923,2
graf,putsch,99,6,1923,1923,2
graf,muenchen,99,6,99,99,9
biskupski,putsch,99,6,1923,1923,2
biskupski,muenchen,99,6,99,99,9
feverlag,muenchen,99,6,99,99,9
ludendorff,putsch,99,6,1923,1923,2
ludendorff,muenchen,99,6,99,99,9
amann,krieg,99,6,1914,1918,1
amann,putsch,99,6,1923,1923,2
amann,landsberg,99,6,1923,1923,2
amann,muenchen,99,6,1891,1925,1
bruckmann,muenchen,99,6,1898,1939,1
eckart,putsch,99,6,1923,1923,2
frank,muenchen,99,6,1901,1939,1
hoffmann,putsch,99,6,1923,1923,2
hoffmann,muenchen,99,6,1909,1939,1
maurice,muenchen,99,6,1919,1939,1
maurice,putsch,99,6,1923,1923,2
maurice,landsberg,99,6,1924,1925,3
stosstrupp,putsch,99,6,1923,1923,2
stosstrupp,landsberg,99,6,1924,1925,3
stosstrupp,berchtold,99,6,1923,1925,3
berchtold,putsch,99,6,1923,1923,2
berchtold,stosstrupp,99,6,1923,1925,3
neithardt,putsch,99,6,1923,1923,2
burhenne,gansser,99,7,1922,99,2
gansser,burhenne,99,7,1922,99,2
streicher,putsch,99,6,1923,1923,2
streicher,landsberg,99,6,1924,1924,3
streicher,esser,99,7,1923,99,2
streicher,amann,99,7,1923,99,2
amann,streicher,99,7,1923,99,2
kriebel,putsch,99,6,1923,1923,2
kriebel,landsberg,99,6,1924,1924,3
pfordten,putsch,99,6,1923,1923,2
pfordten,scheubnerrichter,99,7,1923,99,2
scheubnerrichter,pfordten,99,7,1923,99,2
drexler,muenchen,99,6,1919,1932,1
drexler,landsberg,99,6,1924,1924,2
drexler,dap,99,6,1920,1920,1
drexler,boepple,99,7,1919,1919,1
leybold,landsberg,99,6,1923,1923,2
leybold,fiehler,99,7,1924,1925,2
leybold,singer,99,7,1924,1924,2
hanfstaengl,muenchen,99,6,1922,1922,2
hanfstaengl,vbeobachter,99,6,1922,1922,2
hanfstaengl,putsch,99,6,1923,1923,2
hanfstaengl,hbechstein,99,7,1923,1924,2
hbechstein,hanfstaengl,99,7,1923,1924,2
boepple,putsch,99,6,1923,1923,2
boepple,schutztrutz,99,6,1919,1919,1
boepple,vbeobachter,99,6,1919,1923,1
boepple,drexler,99,7,1919,1919,1
boepple,dap,99,6,1919,1919,1
kursell,muenchen,99,6,1922,1925,2
kursell,rosenberg,99,7,1924,1924,2
rosenberg,kursell,99,7,1924,1924,2
kursell,eckart,99,7,1924,1924,2
eckart,kursell,99,7,1924,1924,2
kursell,putsch,99,6,1923,1923,2
kursell,baltischelandeswehr,99,6,1919,1919,1
kursell,scheubnerrichter,99,7,1918,1918,1
kursell,schickedanz,99,7,1918,1918,1
kursell,vbeobachter,99,6,1931,1932,6
schickedanz,putsch,99,6,1923,1923,2
schickedanz,scheubnerrichter,99,7,1920,1920,2
schickedanz,baltischelandeswehr,99,6,1919,1919,1
schickedanz,kursell,99,6,1919,1919,1
koerner,muenchen,99,6,1920,1923,2
koerner,putsch,99,6,1923,1923,2
koerner,esser,99,7,1921,1921,2
esser,koerner,99,7,1921,1921,2
koerner,drexler,99,7,1921,1921,2
drexler,koerner,99,7,1921,1921,2
koerner,schutztrutz,99,6,1922,1922,2
koerner,vbeobachter,99,6,1920,1920,1
koerner,dap,99,6,1920,1920,1
fiehler,muenchen,99,6,1920,1925,2
fiehler,leybold,99,7,1924,1925,2
fiehler,landsberg,99,6,1924,1925,2
fiehler,putsch,99,6,1923,1923,2
singer,muenchen,99,6,1920,1925,2
singer,leybold,99,7,1924,1924,2
singer,putsch,99,6,1923,1923,2
roder,frick,99,7,1923,1923,2
frick,roder,99,7,1923,1923,2
roder,poehner,99,7,1923,1923,2
poehner,roder,99,7,1923,1923,2
roehm,muenchen,99,6,1887,1934,1
roehm,putsch,99,6,1923,1923,2
roehm,freikorpsepp,99,6,1919,1919,1
roehm,eisernefaust,99,6,1919,1934,1
eisernefaust,muenchen,99,7,1919,1934,1
roehm,deutscherkampfbund,99,6,1923,1923,2
hitler,deutscherkampfbund,99,6,1923,1923,2
roehm,dap,99,6,1919,1920,1
roehm,mayr,99,7,99,99,9
mayr,roehm,99,7,99,99,9
roehm,eckart,99,7,99,99,9
eckart,roehm,99,7,99,99,9
roehm,esser,99,7,99,99,9
esser,roehm,99,7,99,99,9
roehm,streicher,99,7,99,99,9
streicher,roehm,99,7,99,99,9
weber,roehm,99,7,99,99,9
roehm,weber,99,7,99,99,9
hitler,dap,99,6,1919,1920,1
hierl,muenchen,99,6,1918,99,1
hierl,ludendorff,99,7,1919,1927,1
ludendorff,hierl,99,7,1919,1927,1
class,schutztrutz,99,7,1919,1919,1
class,alldtverband,99,6,1891,1939,1
ebechstein,eckart,99,7,99,99,9
eckart,ebechstein,99,7,99,99,9
ebechstein,hbechstein,99,7,99,1934,9
hbechstein,ebechstein,99,7,99,1934,9
hbechstein,vbeobachter,99,7,1920,99,1
hbechstein,wagner,99,7,99,99,9
wagner,hbechstein,99,7,99,99,9
hbechstein,eckart,99,7,99,99,9
eckart,hbechstein,99,7,99,99,9
hbechstein,bruckmann,99,7,99,99,9
bruckmann,hbechstein,99,7,99,99,9
bruckmann,wagner,99,7,99,99,9
wagner,bruckmann,99,7,99,99,9
bouhler,muenchen,99,6,1919,1934,1
bouhler,putsch,99,6,1923,1923,2
bouhler,schutztrutz,99,6,1919,99,1
bouhler,amann,99,7,1921,99,2
amann,bouhler,99,7,1921,99,2
esser,muenchen,99,6,1919,99,1
esser,putsch,99,6,1923,1923,2
esser,vbeobachter,99,6,1920,1921,1
esser,streicher,99,7,99,99,9
esser,weber,99,7,99,99,9
weber,esser,99,7,99,99,9
esser,eckart,99,7,99,99,9
eckart,esser,99,7,99,99,9
esser,amann,99,7,99,99,9
amann,esser,99,7,99,99,9
esser,rosenberg,99,7,99,99,9
rosenberg,esser,99,7,99,99,9
hitler,vbeobachter,99,7,1920,99,2
sa,muenchen,99,6,1920,99,1
sa,putsch,99,6,1923,1923,2
dinter,schutztrutz,99,6,1919,1923,1
dinter,alldtverband,99,6,99,99,9
mayr,eisernefaust,99,6,1919,99,1
mayr,vbeobachter,99,6,1920,1921,1
vbewegung,putsch,99,7,1923,1923,2
eckart,gansser,99,7,99,99,9
gansser,eckart,99,7,99,99,9
rosenberg,putsch,99,6,1923,1923,2
rosenberg,streicher,99,7,99,99,9
streicher,rosenberg,99,7,99,99,9
rosenberg,lehmann,99,7,99,99,9
lehmann,rosenberg,99,7,99,99,9
schreck,krieg,99,6,1916,1918,1
schreck,muenchen,99,6,1919,99,1
schreck,berchtold,99,7,99,99,9
berchtold,schreck,99,7,99,99,9
schreck,graf,99,7,99,99,9
graf,schreck,99,7,99,99,9
schreck,weber,99,7,99,99,9
weber,schreck,99,7,99,99,9
amann,weber,99,7,99,99,9
weber,amann,99,7,99,99,9
graf,weber,99,7,99,99,9
weber,graf,99,7,99,99,9
schwarz,weber,99,7,99,99,9
weber,schwarz,99,7,99,99,9
fiehler,weber,99,7,99,99,9
