from,to,support,relation,start,end,time
eckart,nsdap,9,6,99,99,9
poehner,nsdap,9,6,99,99,9
maurice,nsdap,9,6,99,99,9
maurice,sa,9,6,99,99,9
maurice,ss,9,6,99,99,9
dietrich,nsdap,9,6,99,99,9
dietrich,ss,9,6,99,99,9
bormann,nsdap,9,6,99,99,9
brueckner,nsdap,9,6,99,99,9
dinter,nsdap,9,6,99,99,9
feder,nsdap,9,6,99,99,9
frank,nsdap,9,6,99,99,9
graf,nsdap,9,6,99,99,9
graf,ss,9,6,99,99,9
graf,sa,9,6,99,99,9
kursell,nsdap,9,6,99,99,9
schickedanz,nsdap,9,6,99,99,9
koerner,nsdap,9,6,99,99,9
streicher,nsdap,9,6,99,99,9
gansser,nsdap,9,6,99,99,9
luedecke,nsdap,9,6,99,99,9
ludendorff,nsdap,9,6,99,99,9
kriebel,nsdap,9,6,99,99,9
kriebel,sa,9,6,99,99,9
pfordten,nsdap,9,6,99,99,9
springorum,nsdap,9,6,99,99,9
pietzsch,nsdap,9,6,99,99,9
pleiger,nsdap,9,6,99,99,9
kehrl,nsdap,9,6,99,99,9
schacht,nsdap,9,6,99,99,9
strauss,nsdap,9,6,99,99,9
lammers,nsdap,9,6,99,99,9
